,x,y,z,B_x,B_y,B_z
0,-141.8,-327.25,12.620000000000005,-0.7227020000003642,-0.9592140000000065,2.1308199999999546
1,-141.8,-327.25,41.12,-0.8501695080276842,-0.8398250836707302,2.329890696159925
2,-141.8,-327.25,52.8,-0.8942773739676564,-0.7840765821913793,2.4055625913471514
3,-141.8,-327.25,81.12,-0.9762688987445319,-0.6282342890997654,2.566705728473434
4,-141.8,-327.25,121.12,-1.021008217151927,-0.38814597661012495,2.7288675338827075
5,-141.8,-327.25,136.5,-1.0165576756723442,-0.29629897576901865,2.769505987012266
6,-141.8,-327.25,161.12,-0.9877167193349801,-0.15234051272493554,2.8103583582347036
7,-141.8,-327.25,201.12,-0.8941439841183739,0.07809101930931561,2.817464869289954
8,-101.8,-327.25,12.620000000000005,-0.44861600000046786,-1.4500840000000874,2.2107999999999066
9,-101.8,-327.25,41.12,-0.6278230731373201,-1.2253742427128662,2.4037295421157565
10,-101.8,-327.25,52.8,-0.6952044237660844,-1.1187485624636766,2.477498106144946
11,-101.8,-327.25,81.12,-0.8110351380208601,-0.8679400676453293,2.6334635794309156
12,-101.8,-327.25,121.12,-0.8645591320147042,-0.5551143973461667,2.7784444111191946
13,-101.8,-327.25,136.5,-0.858817090177073,-0.450348984386276,2.8102305697554057
14,-101.8,-327.25,161.12,-0.8272252251630661,-0.2991063816959252,2.837373176456855
15,-101.8,-327.25,201.12,-0.732235674259781,-0.07994207389617713,2.8284220945351164
16,-61.8,-327.25,12.620000000000005,-0.5166100719143925,-1.4090341797187298,2.2712135417300674
17,-61.8,-327.25,41.12,-0.67211988328134,-1.1998772040655385,2.4638029200865663
18,-61.8,-327.25,52.8,-0.7165880665989541,-1.098544668988728,2.537477097315111
19,-61.8,-327.25,81.12,-0.7660074521533434,-0.8496069156607367,2.6859006853971623
20,-61.8,-327.25,121.12,-0.7468578823852828,-0.5387603236902123,2.796062710790653
21,-61.8,-327.25,136.5,-0.7244808218194952,-0.4406243067337474,2.8122180582701075
22,-61.8,-327.25,161.12,-0.6753319605856551,-0.30856339792573384,2.818751463336168
23,-61.8,-327.25,201.12,-0.5678806296028841,-0.13219997314156973,2.790836590568998
24,-41.8,-327.25,12.620000000000005,-0.6027270334695249,-1.2595376364617037,2.296174680024109
25,-41.8,-327.25,41.12,-0.7452759698928544,-1.061365069272024,2.484845770224255
26,-41.8,-327.25,52.8,-0.7692496682309542,-0.9720831192742123,2.5583295272998647
27,-41.8,-327.25,81.12,-0.7579267422630199,-0.7531634713515873,2.702683360844319
28,-41.8,-327.25,121.12,-0.6888718205965403,-0.4716199687223799,2.7880261847812062
29,-41.8,-327.25,136.5,-0.6576298761688856,-0.3840596028201635,2.7945684714134496
30,-41.8,-327.25,161.12,-0.5995741712449647,-0.271020778168096,2.790467348434831
31,-41.8,-327.25,201.12,-0.48633320031149635,-0.12598924111184884,2.755073783433263
32,-21.799999999999997,-327.25,12.620000000000005,-0.653198032319831,-1.074852713522172,2.3171458468126813
33,-21.799999999999997,-327.25,41.12,-0.7880130515509445,-0.8848938671910025,2.495463550949269
34,-21.799999999999997,-327.25,52.8,-0.7914240667881828,-0.8086999324486763,2.5672626526987803
35,-21.799999999999997,-327.25,81.12,-0.7217130745397471,-0.6291522703831549,2.7072136283355848
36,-21.799999999999997,-327.25,121.12,-0.6212760174062002,-0.3854304725249744,2.7646446129166082
37,-21.799999999999997,-327.25,136.5,-0.5849946138624034,-0.3105121957760668,2.762546806797293
38,-21.799999999999997,-327.25,161.12,-0.5216598616925502,-0.2180890963691957,2.7500596576952776
39,-21.799999999999997,-327.25,201.12,-0.4064022173501893,-0.10486060117078488,2.709628427819918
40,-1.8000000000000007,-327.25,12.620000000000005,-0.623531428818204,-0.8851726395068349,2.337137558881895
41,-1.8000000000000007,-327.25,41.12,-0.740720000000668,-0.6991560000002819,2.4938399999998895
42,-1.8000000000000007,-327.25,52.8,-0.7308384836884865,-0.6365890819943933,2.559114891708612
43,-1.8000000000000007,-327.25,81.12,-0.6427360000005935,-0.5031739999997025,2.6890999999999456
44,-1.8000000000000007,-327.25,121.12,-0.5448179999996762,-0.3014800000002942,2.7253399999999353
45,-1.8000000000000007,-327.25,136.5,-0.5067889086037468,-0.23870601291933635,2.718499122039809
46,-1.8000000000000007,-327.25,161.12,-0.44159799999988975,-0.16254060000002424,2.700880000000043
47,-1.8000000000000007,-327.25,201.12,-0.33217799999946346,-0.07433260000029851,2.6559600000000074
48,0.0,-327.25,12.620000000000005,-0.6164436769632226,-0.8689711774935391,2.33915288415855
49,0.0,-327.25,41.12,-0.7293796219144304,-0.6829574909228198,2.4932370014911434
50,0.0,-327.25,52.8,-0.719866824189217,-0.6216446041215509,2.557608859793697
51,0.0,-327.25,81.12,-0.6342218763589325,-0.4923463173461884,2.685751479184714
52,0.0,-327.25,121.12,-0.5377645788759765,-0.29477324623315204,2.721228794662522
53,0.0,-327.25,136.5,-0.4997401799242311,-0.23281991875369568,2.714174466019669
54,0.0,-327.25,161.12,-0.4343284061581002,-0.15779518786333768,2.696213940636642
55,0.0,-327.25,201.12,-0.3260874397762423,-0.07127503533248936,2.65075006154512
56,18.2,-327.25,12.620000000000005,-0.5205268486213823,-0.723279859664582,2.365203577601309
57,18.2,-327.25,41.12,-0.5826439999996291,-0.5394299999999737,2.4902000000001165
58,18.2,-327.25,52.8,-0.5868216764289415,-0.4888046403693105,2.5432498701472146
59,18.2,-327.25,81.12,-0.5492320000001145,-0.39039600000030417,2.6452599999998556
60,18.2,-327.25,121.12,-0.47230999999986284,-0.23109000000008106,2.6780000000000075
61,18.2,-327.25,136.5,-0.435891261379919,-0.1754601628791017,2.66971472920287
62,18.2,-327.25,161.12,-0.3696039999998483,-0.10925620000020109,2.64857999999997
63,18.2,-327.25,201.12,-0.2745660000000338,-0.035070399999867385,2.5972199999999463
64,38.2,-327.25,12.620000000000005,-0.41014581224151425,-0.6091967130006593,2.4107433496455433
65,38.2,-327.25,41.12,-0.4672940000007016,-0.447397999999505,2.510380000000098
66,38.2,-327.25,52.8,-0.4771046676057853,-0.39820188085333097,2.548240878458248
67,38.2,-327.25,81.12,-0.4766180000005523,-0.30002200000003,2.617900000000049
68,38.2,-327.25,121.12,-0.42192799999974673,-0.1613366000002976,2.634720000000119
69,38.2,-327.25,136.5,-0.38947646434538064,-0.11419438356948786,2.624223201108017
70,38.2,-327.25,161.12,-0.33288400000014673,-0.052217999999501385,2.5987000000001217
71,38.2,-327.25,201.12,-0.24156800000060213,0.014600399999754377,2.544240000000047
72,58.2,-327.25,12.620000000000005,-0.31439145989276773,-0.5296612907820863,2.4694851557120687
73,58.2,-327.25,41.12,-0.378360022983685,-0.3885794069527524,2.551769431482912
74,58.2,-327.25,52.8,-0.39426854246898774,-0.34283625069924106,2.5750108240677103
75,58.2,-327.25,81.12,-0.4103836473515631,-0.2481762113668613,2.6072195667352007
76,58.2,-327.25,121.12,-0.3754562740137123,-0.11945272331439583,2.6018944388173564
77,58.2,-327.25,136.5,-0.3493131535770976,-0.07583862451701329,2.58704629594192
78,58.2,-327.25,161.12,-0.301572092219377,-0.02081323541055302,2.5561834066971705
79,58.2,-327.25,201.12,-0.2163232744966325,0.039363061182752235,2.4991548532145034
80,78.2,-327.25,12.620000000000005,-0.22343625218753904,-0.4675147268278055,2.52484357681437
81,78.2,-327.25,41.12,-0.2920680000003018,-0.340451999999809,2.593800000000295
82,78.2,-327.25,52.8,-0.31216096744168925,-0.29930534495931393,2.6050795531488875
83,78.2,-327.25,81.12,-0.3386480000008239,-0.2143159999997919,2.605240000000252
84,78.2,-327.25,121.12,-0.31964599999909415,-0.09429139999973568,2.5774999999998505
85,78.2,-327.25,136.5,-0.29928892294608334,-0.05295269986450446,2.557445556646381
86,78.2,-327.25,161.12,-0.25905400000055456,-0.0018223999997395435,2.520120000000237
87,78.2,-327.25,201.12,-0.18111199999856006,0.056368799999932495,2.4572199999999107
88,98.2,-327.25,12.620000000000005,-0.1302784662715316,-0.4164201669245795,2.5614934288962843
89,98.2,-327.25,41.12,-0.2040589138696719,-0.2980373252526709,2.6164172702974198
90,98.2,-327.25,52.8,-0.22605716051009367,-0.2590152165990931,2.621530358871791
91,98.2,-327.25,81.12,-0.25830650849841164,-0.17734820076160762,2.605441178061006
92,98.2,-327.25,121.12,-0.25153335781393993,-0.06607345987820468,2.5568175994521014
93,98.2,-327.25,136.5,-0.2360064292115033,-0.02725300707164502,2.532021252032679
94,98.2,-327.25,161.12,-0.20237426978170414,0.023390969077819346,2.4885914790916432
95,98.2,-327.25,201.12,-0.12821783675465548,0.0867507052403198,2.413189429288866
96,-141.8,-287.25,12.620000000000005,-0.8716020000003166,-0.8561300000002063,2.191059999999955
97,-141.8,-287.25,41.12,-0.9554035355210997,-0.7404919494966045,2.3641514481380876
98,-141.8,-287.25,52.8,-0.9769901697619179,-0.6931974047898022,2.430276702132274
99,-141.8,-287.25,81.12,-1.0073266156912377,-0.5791994934483489,2.5752109179229747
100,-141.8,-287.25,121.12,-0.9992396976844421,-0.41202095588872867,2.7294258277187327
101,-141.8,-287.25,136.5,-0.9809327042818019,-0.34608056374173746,2.77100397140983
102,-141.8,-287.25,161.12,-0.9361849582200752,-0.2389393443766341,2.817214192994994
103,-141.8,-287.25,201.12,-0.8302581467255876,-0.05650350463689735,2.8412495043496238
104,-101.8,-287.25,12.620000000000005,-0.6482520000000113,-0.9023799999999413,2.1587800000000845
105,-101.8,-287.25,41.12,-0.7386366854277977,-0.8259061788459672,2.3423624969815924
106,-101.8,-287.25,52.8,-0.766228895603312,-0.7928397353048648,2.414308628115739
107,-101.8,-287.25,81.12,-0.8088605523191456,-0.6909385486100708,2.5672657672704404
108,-101.8,-287.25,121.12,-0.8064583195769703,-0.5215461170415985,2.7174646087752996
109,-101.8,-287.25,136.5,-0.788756974190226,-0.45612934436233266,2.7546400891138885
110,-101.8,-287.25,161.12,-0.7452642245533542,-0.3543637963086492,2.7935262325112804
111,-101.8,-287.25,201.12,-0.6448408368534991,-0.1906969870937849,2.8097719076912315
112,-61.8,-287.25,12.620000000000005,-0.5410626648415673,-0.9460055197723287,2.1721316835110764
113,-61.8,-287.25,41.12,-0.630621277768409,-0.8358331099930347,2.3427390489507
114,-61.8,-287.25,52.8,-0.6522617523361158,-0.792702010104855,2.4111874637277886
115,-61.8,-287.25,81.12,-0.6687959743673252,-0.6811711895751955,2.5557909570298163
116,-61.8,-287.25,121.12,-0.6328365181387688,-0.5149507830269306,2.6825477103046356
117,-61.8,-287.25,136.5,-0.6080907856608149,-0.45529423738304686,2.709448193107962
118,-61.8,-287.25,161.12,-0.5588967206824534,-0.36846168006486946,2.734985155917957
119,-61.8,-287.25,201.12,-0.459459548125619,-0.2373258128214507,2.7402101081273975
120,-41.8,-287.25,12.620000000000005,-0.5229772262528309,-0.9124599585673376,2.1866622192297553
121,-41.8,-287.25,41.12,-0.5993772371195851,-0.7948320523807006,2.3467081707092032
122,-41.8,-287.25,52.8,-0.612450821695059,-0.7490169089367322,2.411599890341128
123,-41.8,-287.25,81.12,-0.6059559180005123,-0.6366573402283826,2.547471982810326
124,-41.8,-287.25,121.12,-0.549432903715375,-0.4773027725583693,2.6553995701963657
125,-41.8,-287.25,136.5,-0.5214439652540063,-0.42214050097072997,2.6756666100157362
126,-41.8,-287.25,161.12,-0.4700645482174954,-0.34502717830247154,2.693849237635307
127,-41.8,-287.25,201.12,-0.3724147178329494,-0.2330139014799137,2.69399790107745
128,-21.799999999999997,-287.25,12.620000000000005,-0.4911306138873129,-0.8455256259750294,2.2045126977412965
129,-21.799999999999997,-287.25,41.12,-0.5474712750225709,-0.7267113294664758,2.349371340612554
130,-21.799999999999997,-287.25,52.8,-0.5532113647433989,-0.6818886495600935,2.40944860288665
131,-21.799999999999997,-287.25,81.12,-0.5331357196190372,-0.5757323113602706,2.5340646302750645
132,-21.799999999999997,-287.25,121.12,-0.46826329094547453,-0.4283077727648261,2.621332948666565
133,-21.799999999999997,-287.25,136.5,-0.43925890681402857,-0.37743153916266403,2.6355908964028165
134,-21.799999999999997,-287.25,161.12,-0.38712876878940805,-0.3082258589321419,2.6475868819145147
135,-21.799999999999997,-287.25,201.12,-0.2935801062512657,-0.21307063106335844,2.642935982016975
136,-1.8000000000000007,-287.25,12.620000000000005,-0.4316567061471233,-0.7653042593642274,2.2304289259989996
137,-1.8000000000000007,-287.25,41.12,-0.4644959999999103,-0.6503480000000024,2.3557600000000987
138,-1.8000000000000007,-287.25,52.8,-0.46852071474236406,-0.6090456553952248,2.408442499556871
139,-1.8000000000000007,-287.25,81.12,-0.45397399999995625,-0.5140139999999582,2.5157600000000606
140,-1.8000000000000007,-287.25,121.12,-0.3977640000001522,-0.3815740000000405,2.5841000000000336
141,-1.8000000000000007,-287.25,136.5,-0.36979194509126323,-0.333106077697378,2.5942109453539066
142,-1.8000000000000007,-287.25,161.12,-0.3173960000001406,-0.26613000000002457,2.6013199999998853
143,-1.8000000000000007,-287.25,201.12,-0.22769200000010759,-0.18004499999983065,2.5906999999999614
144,0.0,-287.25,12.620000000000005,-0.42530864682207203,-0.758184573566254,2.2333519462776716
145,0.0,-287.25,41.12,-0.45655713997620173,-0.6438920111021025,2.356975128467198
146,0.0,-287.25,52.8,-0.46058318273025395,-0.6030004377865263,2.4087488854184507
147,0.0,-287.25,81.12,-0.44719513655918497,-0.5091729755107541,2.5140731374423235
148,0.0,-287.25,121.12,-0.3923887373325352,-0.3779547731350722,2.5808972861223722
149,0.0,-287.25,136.5,-0.36457077099507335,-0.3295886690587726,2.5906803357420904
150,0.0,-287.25,161.12,-0.3122579115937355,-0.26247184038082727,2.5973703751373836
151,0.0,-287.25,201.12,-0.2225492127696598,-0.1765973440450334,2.586124550403469
152,18.2,-287.25,12.620000000000005,-0.36017448150572867,-0.6919913341342303,2.2686829560275217
153,18.2,-287.25,41.12,-0.38382799999992046,-0.5884640000001657,2.3748999999999585
154,18.2,-287.25,52.8,-0.3893382797401246,-0.5516187546265172,2.416013258033013
155,18.2,-287.25,81.12,-0.3892300000002085,-0.46850399999991166,2.4987599999999293
156,18.2,-287.25,121.12,-0.349106000000534,-0.3465999999999254,2.5513800000000963
157,18.2,-287.25,136.5,-0.32328788768979744,-0.30017010651118137,2.5577865472587566
158,18.2,-287.25,161.12,-0.2735640000002475,-0.23405800000018423,2.559799999999862
159,18.2,-287.25,201.12,-0.18386800000005693,-0.14814179999988963,2.5420799999999373
160,38.2,-287.25,12.620000000000005,-0.2995251172390249,-0.630768295517198,2.3180561239787165
161,38.2,-287.25,41.12,-0.33079799999971926,-0.5420140000002953,2.400800000000157
162,38.2,-287.25,52.8,-0.3404449589383449,-0.5069804196684453,2.4305914884404616
163,38.2,-287.25,81.12,-0.35221400000033887,-0.4274380000000384,2.4878200000002733
164,38.2,-287.25,121.12,-0.32134200000090113,-0.3102799999997733,2.523639999999986
165,38.2,-287.25,136.5,-0.2982944238138129,-0.2698374006562321,2.525588306764033
166,38.2,-287.25,161.12,-0.25387399999979915,-0.2187240000003482,2.5211799999999176
167,38.2,-287.25,201.12,-0.1753148000002474,-0.14027659999998504,2.497839999999895
168,58.2,-287.25,12.620000000000005,-0.25078383621691674,-0.5712074583237419,2.3749485560829067
169,58.2,-287.25,41.12,-0.29759934898238455,-0.48046028071915936,2.4376621744752307
170,58.2,-287.25,52.8,-0.31054209852673814,-0.4470088291471166,2.4551834505852135
171,58.2,-287.25,81.12,-0.3260500617350578,-0.36900413039120394,2.4824938667588468
172,58.2,-287.25,121.12,-0.3009595334143377,-0.2574483726272354,2.497234095770995
173,58.2,-287.25,136.5,-0.2801024626886686,-0.21875627088462934,2.4946988758926687
174,58.2,-287.25,161.12,-0.24114108385684432,-0.16827381089673676,2.4839573563547392
175,58.2,-287.25,201.12,-0.16927673946561278,-0.1022769159203113,2.454940166492688
176,78.2,-287.25,12.620000000000005,-0.19930550457325513,-0.5133086356929297,2.429758632342649
177,78.2,-287.25,41.12,-0.25816799999940215,-0.4146179999994368,2.47684000000018
178,78.2,-287.25,52.8,-0.27281577249385575,-0.3804425827248794,2.484045114113132
179,78.2,-287.25,81.12,-0.2896159999998793,-0.303495999999984,2.4837999999999516
180,78.2,-287.25,121.12,-0.2700280000003119,-0.19671599999977163,2.4756000000003193
181,78.2,-287.25,136.5,-0.2508471095278908,-0.15657487193201147,2.4677139047780328
182,78.2,-287.25,161.12,-0.21523400000038345,-0.10123880000051078,2.4501400000000615
183,78.2,-287.25,201.12,-0.14746080000019016,-0.045034399999946295,2.4131600000002593
184,98.2,-287.25,12.620000000000005,-0.13428408141447556,-0.464238387255965,2.471515623333935
185,98.2,-287.25,41.12,-0.19633516833224546,-0.3619479059823316,2.507200967832474
186,98.2,-287.25,52.8,-0.21273421047037966,-0.32622049663721775,2.508316965191332
187,98.2,-287.25,81.12,-0.23237074129835322,-0.24830020569292133,2.4919827593573403
