,cycle,time_start,time_end,u,v,w,B_u,dB_u,B_v,dB_v,B_w,dB_w,x,y,z,B_x,B_y,B_z
4,4,1565393043.543241,1565393047.5431056,-87.95,13.870000000000005,-192.75,0.430332,0.000765029,1.505426,6.269e-05,0.70513,0.000597997,98.2,192.75,12.620000000000005,-0.430332,-0.70513,1.505426
9,9,1565393115.9724972,1565393119.973707,-47.95,13.870000000000005,-192.75,0.662516,0.0014231060000000002,1.608406,0.000324469,0.6975520000000001,0.000513683,58.2,192.75,12.620000000000005,-0.662516,-0.6975520000000001,1.608406
14,14,1565393192.02592,1565393196.0276473,-7.95,13.870000000000005,-192.75,0.879776,0.001380554,1.7296779999999998,0.000303924,0.639582,0.000883216,18.2,192.75,12.620000000000005,-0.879776,-0.639582,1.7296779999999998
19,19,1565393291.0413795,1565393295.0417945,32.05,13.870000000000005,-192.75,1.16326,0.000970309,1.8537299999999999,0.000362767,0.47325,0.001118928,-21.799999999999997,192.75,12.620000000000005,-1.16326,-0.47325,1.8537299999999999
24,24,1565393359.4970875,1565393363.4967759,72.05,13.870000000000005,-192.75,1.448248,0.000910368,1.9878200000000001,0.00051672,0.0947242,0.001147334,-61.8,192.75,12.620000000000005,-1.448248,-0.0947242,1.9878200000000001
29,29,1565393443.697735,1565393447.6973462,112.05,13.870000000000005,-192.75,1.339294,0.0021332670000000003,2.38584,0.002803212,-0.1545842,0.001227969,-101.8,192.75,12.620000000000005,-1.339294,0.1545842,2.38584
34,34,1565393546.8887846,1565393550.8883185,112.05,13.870000000000005,-152.75,1.207008,0.0006666860000000001,2.50552,0.000148324,-0.1410918,0.004545254,-101.8,152.75,12.620000000000005,-1.207008,0.1410918,2.50552
39,39,1565393618.7528794,1565393622.7533302,72.05,13.870000000000005,-152.75,1.074574,0.0017052360000000002,2.16476,0.000482701,0.15071020000000002,0.0008979039999999998,-61.8,152.75,12.620000000000005,-1.074574,-0.15071020000000002,2.16476
44,44,1565393690.9696295,1565393694.9712224,32.05,13.870000000000005,-152.75,0.959026,0.001221241,1.965682,0.000373256,0.38038,0.000348066,-21.799999999999997,152.75,12.620000000000005,-0.959026,-0.38038,1.965682
49,49,1565393855.7934785,1565393859.7945573,-7.95,13.870000000000005,-152.75,0.7623979999999999,0.00181555,1.820552,0.00024366,0.51061,0.001574389,18.2,152.75,12.620000000000005,-0.7623979999999999,-0.51061,1.820552
54,54,1565393961.416557,1565393965.4190154,-47.95,13.870000000000005,-152.75,0.619862,0.000878106,1.697846,0.000127004,0.583072,0.000253318,58.2,152.75,12.620000000000005,-0.619862,-0.583072,1.697846
59,59,1565394046.5773435,1565394050.5782444,-87.95,13.870000000000005,-152.75,0.43683,0.0008689360000000001,1.591386,0.000166823,0.6166159999999999,0.000524624,98.2,152.75,12.620000000000005,-0.43683,-0.6166159999999999,1.591386
64,64,1565394152.0405712,1565394156.0415688,-87.95,13.870000000000005,-112.75,0.426708,0.000209452,1.6648919999999998,8.7006e-05,0.561856,0.000456213,98.2,112.75,12.620000000000005,-0.426708,-0.561856,1.6648919999999998
69,69,1565394231.2571356,1565394235.256541,-47.95,13.870000000000005,-112.75,0.55785,0.000283461,1.76867,3.8079e-05,0.515896,0.00035225,58.2,112.75,12.620000000000005,-0.55785,-0.515896,1.76867
74,74,1565394318.7535396,1565394322.753604,-7.95,13.870000000000005,-112.75,0.6614680000000001,0.002474868,1.886666,0.000597185,0.44415,0.000517735,18.2,112.75,12.620000000000005,-0.6614680000000001,-0.44415,1.886666
79,79,1565394384.3530464,1565394388.3538976,32.05,13.870000000000005,-112.75,0.7623,0.004210683,2.02516,0.00098387,0.341502,0.000701798,-21.799999999999997,112.75,12.620000000000005,-0.7623,-0.341502,2.02516
84,84,1565394475.0893562,1565394479.0901089,72.05,13.870000000000005,-112.75,0.842678,0.002029401,2.19372,0.000756307,0.1686126,0.0008666689999999999,-61.8,112.75,12.620000000000005,-0.842678,-0.1686126,2.19372
89,89,1565394553.4326868,1565394557.4334044,112.05,13.870000000000005,-112.75,0.857844,0.000388433,2.3886,0.0001,-0.0261218,0.000710272,-101.8,112.75,12.620000000000005,-0.857844,0.0261218,2.3886
94,94,1565394614.8808124,1565394618.8820422,152.05,13.870000000000005,-112.75,0.7297560000000001,0.000133529,2.58712,0.000109545,-0.222398,0.000452294,-141.8,112.75,12.620000000000005,-0.7297560000000001,0.222398,2.58712
4,4,1565394788.0,1565394792.0,112.05,13.870000000000005,-72.75,0.694584,0.001839709,2.32002,0.000294958,0.0985528,0.000630076,-101.8,72.75,12.620000000000005,-0.694584,-0.0985528,2.32002
9,9,1565394875.0,1565394879.0,112.05,13.870000000000005,-32.75,0.6199859999999999,0.001823233,2.27112,0.000580517,0.229092,0.0013257529999999998,-101.8,32.75,12.620000000000005,-0.6199859999999999,-0.229092,2.27112
14,14,1565395017.0,1565395021.0,112.05,13.870000000000005,7.25,0.587142,0.001576157,2.23962,0.000511859,0.29846,0.001373936,-101.8,-7.25,12.620000000000005,-0.587142,-0.29846,2.23962
19,19,1565395115.0,1565395119.0,112.05,13.870000000000005,47.25,0.59534,0.001096745,2.21678,0.000311448,0.34249,0.001228882,-101.8,-47.25,12.620000000000005,-0.59534,-0.34249,2.21678
