,cycle,time_start,time_end,u,v,w,B_u,dB_u,B_v,dB_v,B_w,dB_w,x,y,z,B_x,B_y,B_z
0,0,1565393003.9618595,1565393007.961532,-87.95,-146.13,-192.75,0.501304,0.000270703,1.221652,4.9193e-05,1.2368780000000001,0.000113446,98.2,192.75,-147.38,-0.501304,-1.2368780000000001,1.221652
1,1,1565393014.3208313,1565393018.3219526,-87.95,-106.13,-192.75,0.594004,6.269e-05,1.255494,4.9295e-05,1.038404,9.3167e-05,98.2,192.75,-107.38,-0.594004,-1.038404,1.255494
2,2,1565393024.3124127,1565393028.3123126,-87.95,-66.13000000000001,-192.75,0.5738880000000001,0.000803598,1.340306,9.2898e-05,0.9019719999999999,0.000605368,98.2,192.75,-67.38000000000001,-0.5738880000000001,-0.9019719999999999,1.340306
3,3,1565393034.4084635,1565393038.4084024,-87.95,-26.129999999999995,-192.75,0.5071060000000001,0.000605211,1.428224,0.000201321,0.7952060000000001,0.000180361,98.2,192.75,-27.379999999999995,-0.5071060000000001,-0.7952060000000001,1.428224
4,4,1565393043.543241,1565393047.5431056,-87.95,13.870000000000005,-192.75,0.430332,0.000765029,1.505426,6.269e-05,0.70513,0.000597997,98.2,192.75,12.620000000000005,-0.430332,-0.70513,1.505426
5,5,1565393081.5365882,1565393085.5400753,-47.95,-146.13,-192.75,0.77656,0.000260288,0.8651719999999999,0.000216379,1.172044,0.000153232,58.2,192.75,-147.38,-0.77656,-1.172044,0.8651719999999999
6,6,1565393090.237984,1565393094.2380335,-47.95,-106.13,-192.75,0.884856,0.0006834689999999999,1.223178,0.000326374,1.0463559999999998,0.000859901,58.2,192.75,-107.38,-0.884856,-1.0463559999999998,1.223178
7,7,1565393098.8379092,1565393102.8374202,-47.95,-66.13000000000001,-192.75,0.841724,0.001184749,1.399624,0.000263211,0.9144979999999999,0.000896309,58.2,192.75,-67.38000000000001,-0.841724,-0.9144979999999999,1.399624
8,8,1565393107.4281454,1565393111.4276998,-47.95,-26.129999999999995,-192.75,0.7539560000000001,0.000197307,1.517398,9.2033e-05,0.798492,0.00016269600000000002,58.2,192.75,-27.379999999999995,-0.7539560000000001,-0.798492,1.517398
9,9,1565393115.9724972,1565393119.973707,-47.95,13.870000000000005,-192.75,0.662516,0.0014231060000000002,1.608406,0.000324469,0.6975520000000001,0.000513683,58.2,192.75,12.620000000000005,-0.662516,-0.6975520000000001,1.608406
10,10,1565393154.482919,1565393158.482282,-7.95,-146.13,-192.75,1.5880020000000001,0.000127161,0.8760479999999999,0.000122147,1.037652,0.000212767,18.2,192.75,-147.38,-1.5880020000000001,-1.037652,0.8760479999999999
11,11,1565393164.5053756,1565393168.5072687,-7.95,-106.13,-192.75,1.2921280000000002,5.4037e-05,1.328058,0.000223987,0.9966440000000001,0.000350471,18.2,192.75,-107.38,-1.2921280000000002,-0.9966440000000001,1.328058
12,12,1565393172.7935796,1565393176.7943492,-7.95,-66.13000000000001,-192.75,1.1248040000000001,0.00026168700000000003,1.510286,9.0995e-05,0.8743879999999999,0.000257235,18.2,192.75,-67.38000000000001,-1.1248040000000001,-0.8743879999999999,1.510286
13,13,1565393182.3615456,1565393186.3615544,-7.95,-26.129999999999995,-192.75,0.995142,0.002969507,1.627142,0.0015382520000000002,0.751354,0.000422114,18.2,192.75,-27.379999999999995,-0.995142,-0.751354,1.627142
14,14,1565393192.02592,1565393196.0276473,-7.95,13.870000000000005,-192.75,0.879776,0.001380554,1.7296779999999998,0.000303924,0.639582,0.000883216,18.2,192.75,12.620000000000005,-0.879776,-0.639582,1.7296779999999998
15,15,1565393252.6494026,1565393256.6532688,32.05,-146.13,-192.75,2.21502,0.000978264,1.579282,0.000592258,1.014322,0.001517274,-21.799999999999997,192.75,-147.38,-2.21502,-1.014322,1.579282
16,16,1565393261.0967937,1565393265.0979939,32.05,-106.13,-192.75,1.65367,0.001587325,1.62792,0.00075316,0.9297799999999999,0.001470476,-21.799999999999997,192.75,-107.38,-1.65367,-0.9297799999999999,1.62792
17,17,1565393270.4733105,1565393274.4758966,32.05,-66.13000000000001,-192.75,1.40803,0.00282125,1.676452,0.000323063,0.78692,0.004930025,-21.799999999999997,192.75,-67.38000000000001,-1.40803,-0.78692,1.676452
